,target,text
3929,ham,I thk Ì_ gotta go home by urself. Cos i'll b going out shopping 4 my frens present. 
3656,ham,Studying. But i.ll be free next weekend.
3023,ham,I love ya too but try and budget your money better babe. Gary would freak on me if he knew
4857,ham,Ok...
2815,ham,Genius what's up. How your brother. Pls send his number to my skype.
134,spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p
3038,ham,"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance.."""
1918,ham,Is fujitsu s series lifebook good?
3456,ham,Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8
4681,ham,"Haha yeah, 2 oz is kind of a shitload"
1578,ham,How to Make a girl Happy? It's not at all difficult to make girls happy. U only need to be... 1. A friend 2. Companion 3. Lover 4. Chef . . .  &lt;#&gt; . Good listener  &lt;#&gt; . Organizer  &lt;#&gt; . Good boyfriend  &lt;#&gt; . Very clean  &lt;#&gt; . Sympathetic  &lt;#&gt; . Athletic  &lt;#&gt; . Warm . . .  &lt;#&gt; . Courageous  &lt;#&gt; . Determined  &lt;#&gt; . True  &lt;#&gt; . Dependable  &lt;#&gt; . Intelligent . . .  &lt;#&gt; . Psychologist  &lt;#&gt; . Pest exterminator  &lt;#&gt; . Psychiatrist  &lt;#&gt; . Healer . .  &lt;#&gt; . Stylist  &lt;#&gt; . Driver . . Aaniye pudunga venaam..
1788,ham,Arun can u transfr me d amt
511,ham,Prabha..i'm soryda..realy..frm heart i'm sory
62,ham,Its a part of checking IQ
3724,ham,Nothing spl..wat abt u and whr ru?
2890,ham,"Yeah there's quite a bit left, I'll swing by tomorrow when I get up"
3372,ham,"Looks like you found something to do other than smoke, great job!"
3213,ham,"Babe, have you got enough money to pick up bread and milk ? And I'll give you it back when you get home ?"
1973,ham,I had askd u a question some hours before. Its answer
122,spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app
2298,ham,Dont pick up d call when something important is There to tell. Hrishi
3560,spam,Text BANNEDUK to 89555 to see! cost 150p textoperator g696ga 18+ XXX
4844,ham,Missing you too.pray inshah allah
4722,ham,HELLO PEACH! MY CAKE TASTS LUSH!
1210,ham,Guessin you ain't gonna be here before 9?
567,ham,"So anyways, you can just go to your gym or whatever, my love *smiles* I hope your ok and having a good day babe ... I miss you so much already"
3651,ham,"Probably not, still going over some stuff here"
3942,ham,I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon
864,ham,Dude ive been seeing a lotta corvettes lately
4224,ham,"\The world suffers a lot... Not because of the violence of bad people. But because of the silence of good people!\"""
3893,spam,Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm
4443,ham,COME BACK TO TAMPA FFFFUUUUUUU
1741,ham,I can do that! I want to please you both inside and outside the bedroom...
2618,ham,Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!
720,ham,Oh is it? Send me the address
3349,ham,Sorry i cant take your call right now. It so happens that there r 2waxsto do wat you want. She can come and ill get her medical insurance. And she'll be able to deliver and have basic care. I'm currently shopping for the right medical insurance for her. So just give me til friday morning. Thats when i.ll see the major person that can guide me to the right insurance.
2509,ham,"U wake up already? Wat u doing? U picking us up later rite? I'm taking sq825, reaching ard 7 smth 8 like dat. U can check e arrival time. C ya soon..."
690,ham,Was the farm open?
602,ham,Speaking of does he have any cash yet?
4755,ham,Don't make life too stressfull.. Always find time to Laugh.. It may not add years to your Life! But surely adds more life to ur years!! Gud ni8..swt dreams..
1756,ham,Lmao ok I wont be needing u to do my hair anymore.
1782,ham,My uncles in Atlanta. Wish you guys a great semester.
2569,ham,Ultimately tor motive tui achieve korli.
2170,ham,\CAN I PLEASE COME UP NOW IMIN TOWN.DONTMATTER IF URGOIN OUTL8R
4190,ham,"Each Moment in a day,has its own value-Morning brings hope,afternoon brings faith,Evening brings luv,Night brings rest,Wish u find them all today.Good Morning"
318,spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
3352,ham,I emailed yifeng my part oredi.. Can Ì_ get it fr him..
274,ham,No objection. My bf not coming.
4797,ham,Just come home. I don't want u to be miserable
4327,spam,"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm"
4668,ham,"When I was born, GOD said, \Oh No! Another IDIOT\"". When you were born"
4375,spam,"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy"
1507,ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
1840,ham,Yeah. I got a list with only u and Joanna if I'm feeling really anti social
4387,ham,"see you then, we're all christmassy here!"
5373,ham,"K I'll head out in a few mins, see you there"
295,spam,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply
4306,ham,I guess it is useless calling u 4 something important.
2694,ham,Hey sexy buns! What of that day? No word from you this morning on YM ... :-( ... I think of you
298,ham,I cant pick the phone right now. Pls send a message
68,spam,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!"""
736,ham,Thanks for looking out for me. I really appreciate.
5523,ham,Going to join tomorrow.
3109,spam,Good Luck! Draw takes place 28th Feb 06. Good Luck! For removal send STOP to 87239 customer services 08708034412
1550,ham,He says hi and to get your ass back to south tampa (preferably at a kegger)
150,ham,The wine is flowing and i'm i have nevering..
756,ham,Cant think of anyone with * spare room off * top of my head
1501,spam,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call"
3053,ham,What happened to our yo date?
2957,spam,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901
2333,ham,What happen to her tell the truth
2057,ham,"Nothing, i got msg frm tht unknown no.."
376,ham,You could have seen me..i did't recognise you Face.:)
1499,spam,"SMS. ac JSco: Energy is high, but u may not know where 2channel it. 2day ur leadership skills r strong. Psychic? Reply ANS w/question. End? Reply END JSCO"
859,ham,Did he just say somebody is named tampa
1351,ham,Yo theres no class tmrw right?
4757,spam,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm
2916,ham,Yes. that will be fine. Love you. Be safe.
378,ham,Keep my payasam there if rinu brings
3877,ham,What you need. You have a person to give na.
1294,ham,Aiyah u did ok already lar. E nydc at wheellock?
1379,spam,No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
2792,ham,Not from this campus. Are you in the library?
2812,ham,"Enjoy the showers of possessiveness poured on u by ur loved ones, bcoz in this world of lies, it is a golden gift to be loved truly.."
4690,ham,Surly ill give it to you:-) while coming to review.
3090,spam,LORD OF THE RINGS:RETURN OF THE KING in store NOW!REPLY LOTR by 2 June 4 Chance 2 WIN LOTR soundtrack CDs StdTxtRate. Reply STOP to end txts
841,ham,"Pls send me a comprehensive mail about who i'm paying, when and how much."
5377,spam,The current leading bid is 151. To pause this auction send OUT. Customer Care: 08718726270
2042,ham,"Me not waking up until 4 in the afternoon, sup"
175,ham,Let me know when you've got the money so carlos can make the call
4066,spam,"You are being contacted by our Dating Service by someone you know! To find out who it is, call from your mobile or landline 09064017305 PoBox75LDNS7 "
927,ham,K:)i will give my kvb acc details:)
3063,ham,Ok. How many should i buy.
45,ham,No calls..messages..missed calls
1260,ham,"Yo, I'm at my parents' gettin cash. Good news: we picked up a downstem"
1096,spam,Dear Subscriber ur draw 4 å£100 gift voucher will b entered on receipt of a correct ans. When was Elvis Presleys Birthday? TXT answer to 80062
2706,ham,S now only i took tablets . Reaction morning only.
1902,ham,My sister got placed in birla soft da:-)
4739,ham,"I keep seeing weird shit and bein all \woah\"" then realising it's actually reasonable and I'm all \""oh\"""""
2535,ham,"Can you pls pls send me a mail on all you know about relatives coming to deliver here? All you know about costs, risks, benefits and anything else. Thanks."
1030,ham,Can not use foreign stamps in this country. Good lecture .
1869,ham,Mom wants to know where you at
3836,ham,Early bird! Any purchases yet?
2197,ham,Bring it if you got it
283,ham,Okie...
2173,ham,"Hiya, had a good day? Have you spoken to since the weekend?"
4888,ham,"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ..."
3210,ham,"OH YEAH,AND HAV A GREAT TIME IN NEWQUAY-SEND ME A POSTCARD !1 LOOK AFTER ALL THE GIRLS WHILE IM GONE(U KNOW THE 1IM TALKIN BOUT!)xx"
4553,ham,Try to do something dear. You read something for exams
1616,ham,"K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas"
5452,ham,What???? Hello wats talks email address?
4006,ham,I'm reaching home in 5 min.
1371,ham,I though we shd go out n have some fun so bar in town or something ÛÒ sound ok?
2683,ham,I'm okay. Chasing the dream. What's good. What are you doing next.
4266,ham,SORRY IM STIL FUCKED AFTER LAST NITE WENT TOBED AT 430 GOT UP 4 WORK AT 630
2115,ham,Well I wasn't available as I washob nobbing with last night so they had to ask Nickey Platt instead of me!;
1907,ham,ELLO BABE U OK?
2271,ham,Life spend with someone for a lifetime may be meaningless but a few moments spent with someone who really love you means more than life itself..
3323,ham,I don wake since. I checked that stuff and saw that its true no available spaces. Pls call the embassy or send a mail to them.
4759,ham,I'm home. Doc gave me pain meds says everything is fine.
1456,ham,U sleeping now.. Or you going to take? Haha.. I got spys wat.. Me online checking n replying mails lor..
3007,spam,"Loan for any purpose å£500 - å£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
5080,ham,"Yeah, give me a call if you've got a minute"
257,ham,Where are you lover ? I need you ...
507,ham,You should know now. So how's anthony. Are you bringing money. I've school fees to pay and rent and stuff like that. Thats why i need your help. A friend in need....|
3105,ham,"I had been hoping i would not have to send you this message. My rent is due and i dont have enough for it. My reserves are completely gone. Its a loan i need and was hoping you could her. The balance is  &lt;#&gt; . Is there a way i could get that from you, till mid march when i hope to pay back."
99,ham,Please don't text me anymore. I have nothing else to say.
2940,ham,My supervisor find 4 me one lor i thk his students. I havent ask her yet. Tell u aft i ask her.
2004,ham,"Goodmorning, today i am late for  &lt;DECIMAL&gt; min."
5398,ham,Hi. Hope you had a good day. Have a better night.
4519,ham,What to think no one saying clearly. Ok leave no need to ask her. I will go if she come or not
2209,ham,"Hmm well, night night "
1740,spam,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise ofå£2000 CASH 18+only. To opt out txt X to 07786200117
2722,ham,It's justbeen overa week since we broke up and already our brains are going to mush!
4127,ham,I dont thnk its a wrong calling between us
4028,ham,"[Û_] anyway, many good evenings to u! s"
4562,ham,"Come around  &lt;DECIMAL&gt; pm vikky..i'm otside nw, il come by tht time"
366,spam,"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q="
5065,ham,I calls you later. Afternoon onwords mtnl service get problem in south mumbai. I can hear you but you cann't listen me.
5419,ham,I'm at bruce &amp; fowler now but I'm in my mom's car so I can't park (long story)
4318,ham,Are you still playing with gautham?
3132,ham,So no messages. Had food?
949,ham,Is that what time you want me to come?
2450,ham,K..give back my thanks.
19,spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+"
1971,ham,Enjoy ur life. . Good night
668,ham,Have a good evening! Ttyl
218,ham,I have to take exam with march 3
5536,ham,Aiyah ok wat as long as got improve can already wat...
1657,ham,S:-)if we have one good partnership going we will take lead:)
3875,ham,did u get that message
4281,ham,U can call now...
585,ham,Tell them u have a headache and just want to use 1 hour of sick time.
4545,ham,Never try alone to take the weight of a tear that comes out of ur heart and falls through ur eyes... Always remember a STUPID FRIEND is here to share... BSLVYL
3034,ham,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.
2758,ham,What time. IÛ÷m out until prob 3 or so
777,ham,"\Hi its Kate it was lovely to see you tonight and ill phone you tomorrow. I got to sing and a guy gave me his card! xxx\"""""
2600,ham,"As usual..iam fine, happy &amp; doing well..:)"
1018,ham,Nope watching tv at home... Not going out. V bored...
2182,ham,PS U no ur a grown up now right?
2784,ham,"K, wat s tht incident?"
5340,ham,Are u awake? Is there snow there?
3909,ham,She.s good. She was wondering if you wont say hi but she.s smiling now. So how are you coping with the long distance
1433,ham,You intrepid duo you! Have a great time and see you both soon. 
2638,ham,Am in gobi arts college
517,spam,Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz
5348,ham,Do I? I thought I put it back in the box
1983,ham,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob
2378,ham,"Hi, Mobile no.  &lt;#&gt;  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com"
217,ham,Easy ah?sen got selected means its good..
2627,ham,I know I'm lacking on most of this particular dramastorm's details but for the most part I'm not worried about that
5212,ham,K.k.how is your business now?
1891,ham,Probably earlier than that if the station's where I think it is
2910,ham,"Sorry,in meeting I'll call later"
2619,spam,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 40 matches. Please call back on 09056242159 to retrieve your messages and matches cc100p/min
1052,ham,"I got another job! The one at the hospital doing data analysis or something, starts on monday! Not sure when my thesis will got finished"
5378,spam,"Free entry to the gr8prizes wkly comp 4 a chance to win the latest Nokia 8800, PSP or å£250 cash every wk.TXT GREAT to 80878 http//www.gr8prizes.com 08715705022"
759,ham,"Call me when you/carlos is/are here, my phone's vibrate is acting up and I might not hear texts"
3290,ham,"I'm not smoking while people use \wylie smokes too much\"" to justify ruining my shit"""
3481,spam,Do you want a NEW video phone750 anytime any network mins 150 text for only five pounds per week call 08000776320 now or reply for delivery tomorrow
214,ham,Sounds great! Are you home now?
1600,ham,K.then any other special?
3326,ham, what number do u live at? Is it 11?
5224,ham,"\OH FUCK. JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX\"""""
2611,spam,Knock Knock Txt whose there to 80082 to enter r weekly draw 4 a å£250 gift voucher 4 a store of yr choice. T&Cs www.tkls.com age16 to stoptxtstopå£1.50/week
2127,ham,Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas
2098,ham,"No dice, art class 6 thru 9 :( thanks though. Any idea what time I should come tomorrow?"
196,ham,Did u got that persons story
1554,ham,Yeah we do totes. When u wanna?
2653,ham,Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..
5431,ham,If I was I wasn't paying attention
5318,ham,"Good morning, my Love ... I go to sleep now and wish you a great day full of feeling better and opportunity ... You are my last thought babe, I LOVE YOU *kiss*"
1056,ham,Then u drive lor.
4710,ham,Huh so slow i tot u reach long ago liao... U 2 more days only i 4 more leh...
887,ham,Y dun cut too short leh. U dun like ah? She failed. She's quite sad.
2006,ham,Shopping lor. Them raining mah hard 2 leave orchard.
4535,ham,Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:
3066,ham,Ok. So april. Cant wait
568,ham,Love it! Daddy will make you scream with pleasure! I am going to slap your ass with my dick!
4043,ham,"Yes, my reg is  Ciao!"
3162,spam,This is the 2nd time we have tried to contact u. U have won the å£1450 prize to claim just call 09053750005 b4 310303. T&Cs/stop SMS 08718725756. 140ppm
1487,ham,I told your number to gautham..
5237,spam,Someonone you know is trying to contact you via our dating service! To find out who it could be call from your mobile or landline 09064015307 BOX334SK38ch 
139,ham,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...
4412,ham,Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.
